"","year","lowerCI","mean","upperCI","herd","scenario"
"6474","1839",1.15939553613641,1.17302440434168,1.18320056473986,"WSA","NI"
"6475","1840",1.16011318952202,1.17297552440614,1.1831452898334,"WSA","NI"
"6476","1841",1.16010916616099,1.17291103418741,1.18291095778702,"WSA","NI"
"6477","1842",1.16039099713572,1.17300016310962,1.18246617176293,"WSA","NI"
"6478","1843",1.16084181201832,1.17304978026816,1.18229207522526,"WSA","NI"
"6479","1844",1.16077788791483,1.17301753895252,1.18245092502695,"WSA","NI"
"6480","1845",1.16059597147327,1.17304207380256,1.18260179486798,"WSA","NI"
"6481","1846",1.16048722581614,1.17308624240228,1.18264956147551,"WSA","NI"
"6482","1847",1.1608327033789,1.1729998331018,1.18267682193144,"WSA","NI"
"6483","1848",1.15975959720285,1.17303444009143,1.18271947295158,"WSA","NI"
"6484","1849",1.15963103540769,1.17308647990016,1.18266121385381,"WSA","NI"
"6485","1850",1.15951322589881,1.17312869815615,1.18273361241978,"WSA","NI"
"6486","1851",1.15981239142695,1.17315286035683,1.18278418551201,"WSA","NI"
"6487","1852",1.15983733007852,1.17323805507057,1.1829526577413,"WSA","NI"
"6488","1853",1.15961792230213,1.17323119444371,1.18267476818442,"WSA","NI"
"6489","1854",1.15964256207376,1.17316239951517,1.18295193245892,"WSA","NI"
"6490","1855",1.15960140835975,1.17313674436627,1.18289147440779,"WSA","NI"
"6491","1856",1.15960054526875,1.17313046479252,1.18280408970929,"WSA","NI"
"6492","1857",1.15973102242429,1.17312453288194,1.18289302367229,"WSA","NI"
"6493","1858",1.15972549137112,1.17296417036905,1.1828103140243,"WSA","NI"
"6494","1859",1.15971011187836,1.17300509176588,1.1822468899966,"WSA","NI"
"6495","1860",1.16021878647192,1.1731065989959,1.18243247838001,"WSA","NI"
"6496","1861",1.16097457906265,1.1731458356107,1.18281784604663,"WSA","NI"
"6497","1862",1.16124042568254,1.17317063912564,1.18241041189229,"WSA","NI"
"6498","1863",1.16104061883784,1.17328772922936,1.18239632121089,"WSA","NI"
"6499","1864",1.16095965981584,1.17325118163949,1.18241110760782,"WSA","NI"
"6500","1865",1.16034265919283,1.17324069092481,1.18241210954553,"WSA","NI"
"6501","1866",1.16044118642418,1.17330089839524,1.1820948547588,"WSA","NI"
"6502","1867",1.15980414517189,1.17330017555788,1.18212558133419,"WSA","NI"
"6503","1868",1.159800346141,1.17333410353295,1.18203264893933,"WSA","NI"
"6504","1869",1.15955898152991,1.17340314268704,1.18186682941461,"WSA","NI"
"6505","1870",1.16003573140754,1.17338758638311,1.18201137246126,"WSA","NI"
"6506","1871",1.16129908447922,1.17341560035003,1.18227216572437,"WSA","NI"
"6507","1872",1.16136515573076,1.17346162063145,1.18248088664695,"WSA","NI"
"6508","1873",1.1623982888692,1.17347375921213,1.18270133927352,"WSA","NI"
"6509","1874",1.16229018531369,1.17352676561625,1.18264429619411,"WSA","NI"
"6510","1875",1.16215295609694,1.17352990316936,1.18280493740527,"WSA","NI"
"6511","1876",1.16212311032925,1.17347915045243,1.18256691495265,"WSA","NI"
"6512","1877",1.1622742609732,1.17338659372717,1.18203493299324,"WSA","NI"
"6513","1878",1.16225397132836,1.17328088925156,1.18174815768526,"WSA","NI"
"6514","1879",1.16227466256887,1.17324462756105,1.18189330073423,"WSA","NI"
"6515","1880",1.16214472155247,1.17324784464208,1.18192085109166,"WSA","NI"
"6516","1881",1.16252249472119,1.17342182208722,1.18234336227401,"WSA","NI"
"6517","1882",1.16206732657604,1.17329947333749,1.18249878988354,"WSA","NI"
"6518","1883",1.16307970071292,1.17336556844794,1.18254871125248,"WSA","NI"
"6519","1884",1.1625882780339,1.17320932746263,1.18212072957814,"WSA","NI"
"6520","1885",1.1623290227507,1.1731305624364,1.18212346838228,"WSA","NI"
"6521","1886",1.16231883070192,1.17308280208932,1.18205236871054,"WSA","NI"
"6522","1887",1.16151990472567,1.1730125408481,1.18210680261461,"WSA","NI"
"6523","1888",1.16185360225842,1.17298250216146,1.18225803492674,"WSA","NI"
"6524","1889",1.16194534849468,1.17285494141025,1.18222563647976,"WSA","NI"
"6525","1890",1.16194399887224,1.17288186106818,1.18182726865974,"WSA","NI"
"6526","1891",1.16193566309466,1.17296413126877,1.18199388335874,"WSA","NI"
"6527","1892",1.16151986938469,1.17295320993227,1.18211426476788,"WSA","NI"
"6528","1893",1.16132923406476,1.17287708395892,1.18215559964088,"WSA","NI"
"6529","1894",1.16118645158729,1.17283432336216,1.18215436049795,"WSA","NI"
"6530","1895",1.1614632204023,1.17278016583571,1.18224309981616,"WSA","NI"
"6531","1896",1.16146960607638,1.17270556707503,1.18218934495593,"WSA","NI"
"6532","1897",1.16164509776502,1.17272079084832,1.18223969816076,"WSA","NI"
"6533","1898",1.16126913822787,1.17264064461564,1.18209634437397,"WSA","NI"
"6534","1899",1.16100173281881,1.1726084688839,1.18223544719494,"WSA","NI"
"6535","1900",1.16053027330583,1.1725934013858,1.18252843589928,"WSA","NI"
"6536","1901",1.16087537462,1.17251484264479,1.18298629172347,"WSA","NI"
"6537","1902",1.1604463767161,1.17247747014467,1.18298780526028,"WSA","NI"
"6538","1903",1.15926648591276,1.17245012009211,1.18304144710936,"WSA","NI"
"6539","1904",1.1604726901651,1.17249766614494,1.18301058353599,"WSA","NI"
"6540","1905",1.16057519841018,1.17251691127647,1.18287752611255,"WSA","NI"
"6541","1906",1.16062414682554,1.1725128484828,1.18266882713233,"WSA","NI"
"6542","1907",1.16069854847224,1.17246660588671,1.18236862640298,"WSA","NI"
"6543","1908",1.16130095946893,1.17264703912479,1.18236993447895,"WSA","NI"
"6544","1909",1.16106665220053,1.1724712839269,1.18236760158863,"WSA","NI"
"6545","1910",1.16013490343452,1.17238633869011,1.18236683902773,"WSA","NI"
"6546","1911",1.15980358038087,1.1722841065086,1.18266975454264,"WSA","NI"
"6547","1912",1.15989630356058,1.17235581631499,1.1826792426234,"WSA","NI"
"6548","1913",1.15960012236542,1.17230895491023,1.1826089659768,"WSA","NI"
"6549","1914",1.15981917514548,1.17242312766621,1.18245607288579,"WSA","NI"
"6550","1915",1.15977072943802,1.17250818571482,1.18269844583712,"WSA","NI"
